20
8,10,9,10
2,17,2,18
5,8,5,9
7,10,8,10
17,9,18,9
9,5,9,6
13,7,13,8
2,16,2,17
6,9,6,10
2,7,3,7
6,18,7,18
3,2,4,2
18,10,19,10
10,15,10,16
1,8,2,8
2,7,2,8
10,6,11,6
12,10,12,11
8,3,9,3
17,1,18,1
9,10,10,10
0,17,1,17
18,9,19,9
15,3,15,4
1,13,1,14
16,7,17,7
15,15,16,15
18,4,19,4
4,11,4,12
15,6,16,6
11,2,12,2
16,16,16,17
6,4,7,4
8,14,8,15
14,2,14,3
2,1,2,2
1,12,1,13
3,11,4,11
10,5,10,6
11,8,12,8
4,6,5,6
13,8,13,9
15,11,16,11
14,12,14,13
2,2,3,2
2,14,3,14
15,12,15,13
4,2,4,3
1,15,2,15
18,1,18,2
14,14,15,14
6,11,6,12
10,1,11,1
2,13,3,13
6,4,6,5
16,3,16,4
1,1,2,1
7,3,8,3
13,6,14,6
17,16,17,17
7,18,8,18
8,11,8,12
6,3,6,4
13,11,14,11
11,2,11,3
16,5,17,5
11,12,12,12
11,14,12,14
1,6,2,6
1,3,2,3
14,2,15,2
18,5,19,5
2,6,3,6
5,1,6,1
10,14,10,15
13,5,13,6
11,7,12,7
14,16,15,16
7,13,7,14
2,3,3,3
6,17,7,17
12,17,12,18
0,5,1,5
15,7,15,8
17,13,17,14
8,9,8,10
12,4,12,5
10,2,10,3
4,9,5,9
9,7,10,7
16,12,16,13
15,17,15,18
15,8,15,9
15,6,15,7
2,3,2,4
11,11,11,12
8,12,9,12
7,11,7,12
15,14,16,14
1,14,2,14
3,12,4,12
16,9,17,9
9,14,10,14
10,7,11,7
1,10,2,10
2,4,3,4
5,2,5,3
18,5,18,6
10,4,10,5
6,3,7,3
15,16,15,17
4,7,5,7
9,3,9,4
14,1,15,1
8,2,9,2
12,4,13,4
17,14,17,15
2,13,2,14
16,5,16,6
1,2,1,3
12,3,12,4
10,7,10,8
9,15,9,16
7,8,7,9
10,16,10,17
8,4,9,4
8,13,9,13
1,7,2,7
7,7,7,8
7,15,8,15
18,17,19,17
10,17,10,18
15,1,16,1
9,9,10,9
1,15,1,16
11,1,12,1
0,4,1,4
9,1,10,1
14,10,14,11
17,2,17,3
6,14,7,14
12,14,12,15
7,14,7,15
7,12,7,13
6,13,7,13
8,6,8,7
0,0,1,0
~
